Link,Title,Description,Primary Category,Secondary Category,Tertiary Category
"""https://clinicaltrials.gov/show/NCT05582889"",","""Move For Your Health for Older Cancer Survivors"",",""" The Move for Your Health (MY Health) Pilot Study is a 12-week study for older cancer survivors to promote light physical activity. The home-based study (no travel required) will test whether a Fitbit activity tracker and health coaching can help cancer survivors be more active throughout the day. "",",Oncology,,
"""https://clinicaltrials.gov/show/NCT04004403"",","""Alternate Day Fasting, Exercise, and NAFLD"",",,Endocrinology,,
"""https://clinicaltrials.gov/show/NCT03766269"",","""Dronabinol Opioid Sparing Evaluation (DOSE) Trial""",""" This study will be a 12-week, open-label trial that is designed to evaluate the Opioid-Sparing effect of Dronabinol at ranging doses when coadministered with the opioid analgesics that are currently being prescribed to patients for their chronic pain condition. The purpose of this trial will be to assess the effectiveness of Dronabinol when combined with opioid analgesics to relieve pain at lower opioid doses and to evaluate any reduction of opioid-related side effects. Participants will take the study-drug, Dronabinol, along with their regular prescribed opioids and the results will be evaluated and analyzed according to defined endpoints. "",",Endocrinology,Chronic pain / diseases,
"""https://clinicaltrials.gov/show/NCT03761706"",","""Impact of Home-based Aerobic and Strength Exercises During Chemotherapy for Early Breast Cancer on Biomarkers of Aging"",",""" Purpose: To determine if engagement in physical activity during chemotherapy will have a moderating effect on increases in p16 levels during chemotherapy. Participants: 100 patients age 21-64 with a Stage I-III breast cancer diagnosis who are about to start adjuvant or neoadjuvant chemotherapy. Procedures: The study entails screening, recruiting and consenting 100 eligible breast cancer patients who are about to begin adjuvant or neoadjuvant chemotherapy and agree to participate in a physical activity intervention, maintain a printed daily exercise log, wear a FitBit, complete questionnaires and assessments, and provide blood samples at various time points. "",",Oncology,,
"""https://clinicaltrials.gov/show/NCT01943695"",","""Supervised Aerobic Training During or After Chemotherapy for Operable Breast Cancer"",",""" The purpose of this study is to compare the effects of aerobic exercise training during and after chemotherapy for women who have recently been diagnosed with early-stage breast cancer. The participant will be instructed to self-report the session information to ExOnc staff at or before their next scheduled visit. If the participant's next scheduled visit is greater than 72 hours following an unsupervised session, ExOnc staff may reach out to the participant to retrieve the session information. Unsupervised session details will be source documented by ExOnc staff. "",",Oncology,,
"""https://clinicaltrials.gov/show/NCT05241223"",","""An Online Behavior Change Intervention to Promote Physical Activity in Adults With Asthma"",",""" The aims of this study are to investigate the effectiveness of an online behavior change (BC) intervention in increasing physical activity (PA) and reducing sedentary behavior in adults with asthma, as well as, in improving other clinical outcomes, in short and medium term. In this single-blind randomized clinical trial, patients with clinically stable moderate to severe asthma, who are physically inactive and do not have cardiovascular and/or osteoneuromuscular impairments will be randomized into control (CG) or intervention (IG) groups (23 in each group). Both groups will carry out a minimum educational program. Additionally, the IG will receive weekly individual and/or group online sessions for 12 weeks of motivation-based BC intervention to promote PA and reduce sedentary behavior, based on both self-determination theory (SDT) and transtheoretical model (TTM). The IG will also receive a pedometer with specific strategies related to it. Both groups will be reassessed immediately after the intervention as well as 6 months after the end of the intervention. The primary outcomes are PA and sedentary behavior, which will be objectively assessed by a triaxial accelerometer (Actigraph wGT3X-BT). Secondary outcomes are: asthma control, functional capacity, quality of life, sleep quality and symptoms of anxiety and depression. "",",Pulmonology,Cardiology,Somnology
"""https://clinicaltrials.gov/show/NCT05249465"",","""Spark: Finding the Optimal Tracking Strategy for Weight Loss in a Digital Health Intervention"",",""" This optimization trial will examine three tracking (or \""self-monitoring\"") strategies for weight loss -- tracking dietary intake, steps, and/or body weight -- all delivered through digital health tools. The purpose of the study is to evaluate the combination of these strategies that maximizes 6-month weight loss in the context of a standalone digital health intervention for adults with overweight or obesity. The investigators will recruit 176 total participants to the trial. Recruitment will occur through remote channels. Interested individuals will be directed to an online screening questionnaire; those who are eligible will then be invited to attend an initial remote session with study personnel to ensure interest and eligibility in the study. The weight loss intervention will last 6 months, and all participants will receive a \""core\"" treatment consisting of goal setting, behavioral lessons, action plans, and tailored feedback - all of which will be delivered remotely. Depending on which group participants are assigned to in the study, some individuals will be asked to track their dietary intake, their steps, and/or their body weight via digital tools. All study tasks will occur remotely, thus, participants never need to come in-person for any intervention or assessment tasks. The investigators will use the Multiphase Optimization Strategy (MOST) framework to identify the most effective combination of self-monitoring strategies. The factorial design will allow the research team to determine the unique and combined impact of each self-monitoring component on weight change. The primary outcome is weight change from baseline to 6 months. The research team will also assess self-monitoring engagement over 6 months and its association with weight change. To complement the main trial, the research team will also randomize half of participants to receive an interactive orientation video, in order to assess its impact on trial retention at 6 months. Overall, the information gathered from this trial will enable the construction of an optimized digital health intervention for weight loss that can be delivered remotely, which, if found to be effective, could have high potential for scalability. "",",Bariatrics,,
"""https://clinicaltrials.gov/show/NCT05241171"",","""The \""Step4Life\"" Randomized Control Trial in Hemodialysis"",",""" Persons with end-stage kidney disease (ESKD) have very low physical activity, and among ESKD patients, the level of inactivity is strongly associated with morbidity and mortality. This study aimed to assess the feasibility and effectiveness of a 12-week intervention coupling use of wearable pedometers (FitBit \u00ae) and feedback coaching to increase physical activity in hemodialysis patients. "",",Nephrology,,
"""https://clinicaltrials.gov/show/NCT02554474"",","""OPAM-IA: Using Digital Activity Trackers to Improve Physical Activity in Inflammatory Arthritis"",",""" Being physically active can reduce pain and fatigue, improve mobility and enhance quality of life in people with arthritis, but adherence to an active lifestyle is poor, with less than half of people with arthritis being active. The primary goal of this randomized controlled trial is to assess the efficacy of a physical activity coaching model to improve physical activity participation and reduce sedentary time in patients with Rheumatoid Arthritis and Systemic Lupus Erythematosus. This model combines the use of a Fitbit Flex (wireless physical activity tracker) paired with a FitViz application, a group education session, and telephone counselling by a physiotherapist. "",",Bariatrics,,
"""https://clinicaltrials.gov/show/NCT05233813"",","""Active Body and Mind Intervention for Older Adults"",",""" This study aimed to examine the effectiveness and acceptability of wearable activity trackers with self-regulatory techniques for promoting physical activity (PA) in older adults. In addition, this study aimed to investigate the impact of a multicomponent PA intervention on life satisfaction, happiness, eudaimonic well-being, and depressive symptoms, reflecting different dimensions of psychological well-being, in older adults. "",",Psychiatry,Bariatrics,
